tag,adm_tech,dip_tech,mil_tech,technology_tier,embraced_institutions,treasury,inflation,stability,prestige,corruption,legitimacy_or_tradition,manpower,sailors,army_quality_tier,navy_quality_tier,economic_tier,infrastructure_tier,source,verification_notes
LAO,7,7,7,3,,600,0,0,0,0,60,15750,0,3,0,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
LAP,7,7,7,3,,200,0,0,0,0,60,93750,2700,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
LBR,5,5,5,1,,600,0,-1,0,5,50,1500,400,1,1,1,1,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
LBY,7,7,7,3,,600,0,0,0,0,60,12750,2100,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
LEB,7,7,7,3,,600,0,0,0,0,60,9750,600,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
LES,6,6,6,2,,600,0,0,0,0,60,1000,0,2,0,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
LIT,7,7,7,3,,600,0,0,0,0,60,12000,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
LTV,7,7,7,3,,600,0,0,0,0,60,5250,900,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
LUX,8,8,8,4,,600,0,0,0,0,60,6000,0,4,0,4,4,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
MAC,8,8,8,4,,600,0,0,0,0,60,6000,0,4,0,4,4,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
MAL,6,6,6,2,,600,0,0,0,0,60,19500,0,2,0,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
MDG,6,6,6,2,,600,0,0,0,0,60,17250,2750,2,2,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
MDV,7,7,7,3,,600,0,0,0,0,60,2250,0,3,0,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
MEX,7,7,7,3,,50,0,0,0,0,60,207000,11700,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
MIC,7,7,7,3,,600,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
MLA,7,7,7,3,,200,0,0,0,0,60,87750,4500,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
MNM,7,7,7,3,,200,0,0,0,0,60,54000,2700,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
MOR,7,7,7,3,,200,0,0,0,0,60,27000,4200,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
MRS,7,7,7,3,,600,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
MRT,7,7,7,3,,600,0,0,0,0,60,6750,600,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
MTU,6,6,6,2,,600,0,0,0,0,60,2250,250,2,2,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
MWI,6,6,6,2,,600,0,0,0,0,60,6000,0,2,0,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
MZM,6,6,6,2,,600,0,0,0,0,60,16500,2000,2,2,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
NAU,7,7,7,3,,600,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
NCR,7,7,7,3,,600,0,0,0,0,60,4500,1200,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
NED,9,9,9,5,,200,0,0,0,0,60,60000,4400,5,5,5,5,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
NGR,6,6,6,2,,600,0,0,0,0,60,12750,0,2,0,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
NIG,6,6,6,2,,50,0,0,0,0,60,117750,1250,2,2,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
NMB,6,6,6,2,,600,0,0,0,0,60,6000,500,2,2,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
NOK,7,7,7,3,,600,0,0,0,0,60,9750,2100,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
NOR,9,9,9,5,,200,0,0,0,0,60,25500,4000,5,5,5,5,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
NPL,7,7,7,3,,600,0,0,0,0,60,9750,0,3,0,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
NZL,9,9,9,5,,600,0,0,0,0,60,17250,6000,5,5,5,5,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
OMA,7,7,7,3,,600,0,0,0,0,60,18750,1800,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
PAK,7,7,7,3,,200,0,0,0,0,60,104250,900,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
PEU,7,7,7,3,,200,0,0,0,0,60,38250,2700,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
PHI,7,7,7,3,,200,0,0,0,0,60,82500,6600,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
PLS,7,7,7,3,,600,0,0,0,0,60,2250,0,3,0,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
PLU,7,7,7,3,,600,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
PNG,7,7,7,3,,600,0,0,0,0,60,4500,1800,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
PNM,7,7,7,3,,600,0,0,0,0,60,10500,1200,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
POL,8,8,8,4,,50,0,0,0,0,60,101250,1750,4,4,4,4,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
POR,8,8,8,4,,200,0,0,0,0,60,28500,3150,4,4,4,4,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
PRG,8,8,8,4,,600,0,0,0,0,60,7500,0,4,0,4,4,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
QTR,7,7,7,3,,600,0,0,0,0,60,11250,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
RMN,8,8,8,4,,200,0,0,0,0,60,47250,350,4,4,4,4,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
RSA,6,6,6,2,,200,0,0,0,0,60,72750,1750,2,2,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
RUS,8,8,8,4,,50,0,0,0,0,60,371250,13650,4,4,4,4,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
RWA,6,6,6,2,,600,0,-1,0,5,50,2250,0,2,0,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SAM,7,7,7,3,,600,0,0,0,0,60,1500,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SAU,7,7,7,3,,50,0,0,0,0,60,105000,2100,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SEY,6,6,6,2,,600,0,0,0,0,60,1000,250,2,2,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SGA,9,9,9,5,,600,0,0,0,0,60,15000,400,5,5,5,5,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SGL,6,6,6,2,,600,0,0,0,0,60,5250,500,2,2,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SIA,7,7,7,3,,50,0,0,0,0,60,114000,2400,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SKN,7,7,7,3,,600,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SKO,9,9,9,5,,200,0,0,0,0,60,109500,4000,5,5,5,5,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SLM,7,7,7,3,,600,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SLU,7,7,7,3,,600,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SOM,5,5,5,1,,600,0,-1,0,5,50,21000,3000,1,1,1,1,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SPA,8,8,8,4,,50,0,0,0,0,60,159000,9450,4,4,4,4,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SRA,6,6,6,2,,600,0,0,0,0,60,2250,500,2,2,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SRL,7,7,7,3,,600,0,0,0,0,60,25500,1500,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SRN,7,7,7,3,,600,0,0,0,0,60,1500,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
STP,6,6,6,2,,600,0,0,0,0,60,1000,250,2,2,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SUD,7,7,7,3,,600,0,0,0,0,60,29250,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SVG,7,7,7,3,,600,0,0,0,0,60,2250,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SVK,8,8,8,4,,600,0,0,0,0,60,17250,0,4,0,4,4,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SVN,8,8,8,4,,600,0,0,0,0,60,6750,350,4,4,4,4,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SWE,9,9,9,5,,200,0,0,0,0,60,44250,4800,5,5,5,5,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SWI,9,9,9,5,,200,0,0,0,0,60,49500,0,5,0,5,5,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SWZ,6,6,6,2,,600,0,0,0,0,60,1500,0,2,0,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
SYR,7,7,7,3,,600,0,0,0,0,60,17250,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
TGO,6,6,6,2,,600,0,0,0,0,60,1500,250,2,2,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
TJK,7,7,7,3,,600,0,-1,0,5,50,6000,0,3,0,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
TKY,7,7,7,3,,50,0,0,0,0,60,163500,5700,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
TNZ,6,6,6,2,,600,0,0,0,0,60,17250,1500,2,2,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
TOG,7,7,7,3,,600,0,0,0,0,60,1500,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
TRK,7,7,7,3,,600,0,0,0,0,60,10500,0,3,0,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
TRN,8,8,8,4,,600,0,0,0,0,60,5250,350,4,4,4,4,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
TUN,7,7,7,3,,600,0,0,0,0,60,8250,1800,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
TVL,7,7,7,3,,600,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
UAE,7,7,7,3,,600,0,0,0,0,60,28500,900,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
UGA,6,6,6,2,,600,0,0,0,0,60,9750,0,2,0,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
UKR,7,7,7,3,,200,0,0,0,0,60,43500,2400,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
URU,7,7,7,3,,600,0,0,0,0,60,9000,1200,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
USA,9,9,9,5,,50,0,0,0,0,60,1419000,31200,5,5,5,5,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
UZB,7,7,7,3,,600,0,0,0,0,60,24750,0,3,0,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
VIT,7,7,7,3,,600,0,0,0,0,60,2250,900,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
VNU,7,7,7,3,,600,0,0,0,0,60,1000,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
VNZ,7,7,7,3,,200,0,0,0,0,60,65250,3000,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
VTN,7,7,7,3,,200,0,0,0,0,60,54750,4200,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
YEM,7,7,7,3,,600,0,0,0,0,60,21000,2400,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
YUG,7,7,7,3,,600,0,-1,0,5,50,15750,300,3,3,3,3,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
ZAM,6,6,6,2,,600,0,0,0,0,60,7500,0,2,0,2,2,generated:country-and-province-2000-foundation,Size-tier treasury and development-derived reserves rebalanced for the EU4 2K province model; manual historical verification pending.
